seus
Label           Min             Max             Avg             Std
lat             34.040          37.989          36.052          1.129
lon             -89.262         -85.598         -87.429         0.988
vza             6.326           29.145          17.635          6.152
sza             37.417          41.794          39.648          1.031
swflux          173.794         525.623         314.402         79.409
lwflux          188.285         277.697         242.395         20.083
pct_clr         6.995           80.235          38.927          19.716
pct_l1          1.329           90.458          47.711          25.542
pct_l2          0.003           74.999          13.343          19.167
l1_cod          1.436           58.629          13.910          10.614
l2_cod          0.000           48.194          4.084           7.625
aer_land_pct    0.313           14.549          4.637           3.751
aod_land        0.002           0.357           0.082           0.078
aer_ocean_pct   0.000           0.000           0.000           0.000
aod_ocean       0.000           0.000           0.000           0.000
aod_ocean_small 0.000           0.000           0.000           0.000

hkh
Label           Min             Max             Avg             Std
lat             32.033          37.975          35.050          1.691
lon             71.428          77.224          74.422          1.463
vza             3.056           29.836          16.732          7.363
sza             35.610          42.123          38.904          1.502
swflux          150.927         661.060         345.650         113.011
lwflux          168.895         312.938         244.834         30.726
pct_clr         1.460           97.151          41.651          27.731
pct_l1          0.154           97.405          41.977          29.464
pct_l2          0.000           89.662          16.353          22.979
l1_cod          0.254           74.625          9.265           9.618
l2_cod          0.000           61.636          3.812           7.255
aer_land_pct    0.000           81.474          13.372          22.328
aod_land        0.000           1.043           0.128           0.197
aer_ocean_pct   0.000           0.000           0.000           0.000
aod_ocean       0.000           0.000           0.000           0.000
aod_ocean_small 0.000           0.000           0.000           0.000

alk
Label           Min             Max             Avg             Std
lat             58.017          60.926          59.490          0.834
lon             -159.497        -154.426        -156.955        1.397
vza             6.192           27.520          16.523          5.521
sza             50.844          53.976          52.441          0.822
swflux          144.629         485.575         326.102         71.836
lwflux          183.409         252.280         219.779         15.006
pct_clr         1.557           76.016          25.339          19.179
pct_l1          1.941           97.623          60.437          28.288
pct_l2          0.000           81.810          14.198          20.830
l1_cod          1.684           71.662          17.545          13.079
l2_cod          0.000           54.584          4.973           8.809
aer_land_pct    0.008           35.277          5.602           7.379
aod_land        0.000           0.242           0.043           0.056
aer_ocean_pct   0.000           32.833          1.176           4.748
aod_ocean       0.000           0.161           0.008           0.027
aod_ocean_small 0.000           0.116           0.006           0.020

neus
Label           Min             Max             Avg             Std
lat             34.263          42.930          38.566          2.414
lon             -77.322         -71.226         -74.367         1.493
vza             3.196           29.845          17.103          7.317
sza             37.378          46.063          41.750          2.078
swflux          90.989          611.449         282.029         120.906
lwflux          159.813         285.003         236.770         27.402
pct_clr         0.407           93.280          34.357          28.979
pct_l1          0.758           99.300          51.161          33.039
pct_l2          0.000           93.300          14.463          23.803
l1_cod          0.261           85.039          12.805          13.646
l2_cod          0.000           72.005          3.399           8.280
aer_land_pct    0.071           12.461          1.178           2.274
aod_land        0.000           0.380           0.037           0.063
aer_ocean_pct   0.006           65.302          7.309           14.265
aod_ocean       0.000           0.304           0.024           0.045
aod_ocean_small 0.000           0.180           0.015           0.028

azn
Label           Min             Max             Avg             Std
lat             -7.978          -3.014          -5.503          1.419
lon             -69.103         -65.659         -67.383         0.910
vza             5.146           29.637          17.302          6.608
sza             26.745          31.586          29.156          1.095
swflux          171.321         693.881         342.504         110.928
lwflux          155.151         277.341         236.693         26.385
pct_clr         1.191           84.800          30.260          21.657
pct_l1          1.094           97.671          52.261          28.037
pct_l2          0.000           91.002          17.472          23.435
l1_cod          0.966           70.073          10.730          10.726
l2_cod          0.000           61.328          4.526           8.378
aer_land_pct    0.179           76.433          16.845          17.728
aod_land        0.002           0.525           0.135           0.122
aer_ocean_pct   0.000           0.000           0.000           0.000
aod_ocean       0.000           0.000           0.000           0.000
aod_ocean_small 0.000           0.000           0.000           0.000

idn
Label           Min             Max             Avg             Std
lat             -4.915          4.570           -0.170          2.646
lon             122.493         127.521         124.999         1.212
vza             3.631           29.836          17.166          7.275
sza             24.370          32.308          28.293          1.766
swflux          76.795          750.847         255.039         142.570
lwflux          129.861         291.400         237.621         33.949
pct_clr         0.370           96.402          33.312          28.465
pct_l1          0.139           99.266          42.657          31.592
pct_l2          0.000           97.317          24.029          28.747
l1_cod          0.119           88.985          7.904           11.022
l2_cod          0.000           75.253          3.334           7.609
aer_land_pct    0.000           66.529          2.391           7.737
aod_land        0.000           0.476           0.028           0.074
aer_ocean_pct   0.000           73.113          9.976           18.050
aod_ocean       0.000           0.317           0.035           0.056
aod_ocean_small 0.000           0.199           0.022           0.034
