## Bulk values calculated with 2589 swaths
## (2589, 5, 39) (2589, 5, 48)
           field,             min,             max,            mean,           stdev,        nancount,
               8,           0.040,           1.809,           0.330,           0.252,           0.000,
               9,           0.034,           1.103,           0.337,           0.244,           0.000,
               3,           0.028,           4.086,           0.261,           0.159,           0.000,
              10,           0.024,           0.751,           0.281,           0.178,           0.000,
              11,           0.010,           0.488,           0.231,           0.126,           0.000,
              12,           0.014,           0.489,           0.216,           0.112,           0.000,
               4,           0.014,           3.604,           0.235,           0.158,           0.000,
               1,           0.009,           3.852,           0.228,           0.164,           0.000,
              13,           0.007,           0.158,           0.123,           0.039,           0.000,
              14,          -0.000,           0.222,           0.139,           0.052,           0.000,
              15,          -0.000,           0.175,           0.138,           0.030,           0.000,
               2,           0.003,           2.351,           0.301,           0.205,           0.000,
              16,          -0.001,           0.206,           0.142,           0.033,           0.000,
              17,          -0.006,           1.881,           0.267,           0.223,           0.000,
              18,           0.001,           2.241,           0.140,           0.119,           0.000,
              19,          -0.007,           1.849,           0.175,           0.141,           0.000,
               5,           0.000,           3.002,           0.256,           0.127,           0.000,
              26,          -0.010,           1.976,           0.038,           0.059,           0.000,
               6,           0.000,           2.472,           0.606,           0.581,           0.000,
               7,           0.000,           2.206,           0.106,           0.065,           0.000,
              20,         211.459,         363.134,         291.810,          12.200,           0.000,
              22,         163.517,         357.635,         285.321,          14.706,     3229029.000,
              21,         196.850,         573.129,         285.083,          14.493,    16389820.000,
              23,         161.840,         359.791,         280.974,          14.530,     5470913.000,
              24,         145.821,         309.418,         243.092,           6.467,     1690368.000,
              25,         149.212,         324.921,         258.978,          11.463,     7929093.000,
              27,         121.468,         302.248,         239.649,           6.029,         122.000,
              28,         174.126,         319.662,         251.381,           8.706,           0.000,
              29,         176.031,         389.176,         273.178,          16.339,           0.000,
              30,         195.933,         371.493,         257.283,          11.526,           0.000,
              31,         172.124,         485.958,         273.509,          17.238,           0.000,
              32,         173.247,         495.720,         272.347,          17.143,           0.000,
              33,         179.125,         373.229,         256.163,          11.224,           0.000,
              34,         182.067,         347.529,         247.658,           8.396,           0.000,
              35,         186.819,         336.972,         241.517,           6.501,           0.000,
              36,         191.268,         302.020,         234.249,          22.540,           0.000,
             lat,          -8.000,          61.000,          28.042,           1.785,           0.000,
             lon,        -160.000,         130.000,         -19.709,           1.281,           0.000,
             vza,           0.022,          29.910,          17.051,           6.809,           0.000,
             sza,          14.817,          75.000,          38.424,           1.457,           0.000,
         pct_clr,           0.000,         100.000,          34.420,          25.042,           0.000,
          pct_l1,           0.000,       3.403e+38             inf             inf           0.000,
          pct_l2,           0.000,       3.403e+38             inf             inf           0.000,
          swflux,          43.333,        1181.217,         307.789,         109.292,           0.000,
          lwflux,          74.190,         428.033,         236.796,          26.352,           0.000,
          l1_cod,           0.050,       3.403e+38             inf             inf           0.000,
          l2_cod,           0.050,       3.403e+38             inf             inf           0.000,
    aer_land_pct,           0.000,         100.000,           6.828,          10.112,           0.000,
        aod_land,           0.000,       3.403e+38             inf             inf           0.000,
   aer_ocean_pct,           0.000,         100.000,           3.577,           7.068,           0.000,
       aod_ocean,           0.000,       3.403e+38             inf             inf           0.000,
 aod_ocean_small,           0.000,       3.403e+38             inf             inf           0.000,
