## Bulk values calculated with 5105 swaths
           field,             min,             max,            mean,           stdev,        nancount,
               8,           0.041,           1.809,           0.328,           0.251,           0.000,
               9,           0.035,           1.103,           0.337,           0.245,           0.000,
               3,           0.028,           4.099,           0.260,           0.159,           0.000,
              10,           0.023,           0.751,           0.281,           0.179,           0.000,
              11,           0.016,           0.488,           0.231,           0.126,           0.000,
              12,           0.015,           0.489,           0.216,           0.112,           0.000,
               4,           0.014,           3.606,           0.234,           0.157,           0.000,
               1,           0.009,           3.855,           0.227,           0.163,           0.000,
              13,           0.000,           0.158,           0.123,           0.039,           0.000,
              14,           0.001,           0.116,           0.083,           0.016,           0.000,
              15,           0.001,           0.222,           0.139,           0.051,           0.000,
               2,           0.001,           0.122,           0.077,           0.015,           0.000,
              16,          -0.000,           0.175,           0.138,           0.030,           0.000,
              17,           0.003,           2.351,           0.299,           0.202,           0.000,
              18,           0.000,           0.206,           0.142,           0.033,           0.000,
              19,          -0.008,           1.881,           0.265,           0.220,           0.000,
               5,           0.000,           2.246,           0.138,           0.118,           0.000,
              26,          -0.006,           1.849,           0.174,           0.140,           0.000,
               6,           0.000,           2.975,           0.256,           0.126,           0.000,
               7,          -0.010,           1.976,           0.037,           0.058,           0.000,
              20,           0.000,           2.492,           0.608,           0.582,           0.000,
              22,           0.000,           2.211,           0.107,           0.065,           0.000,
              21,         207.562,         363.134,         292.095,          12.150,           0.000,
              23,         163.517,         357.635,         285.629,          14.621,     5874475.000,
              24,         196.850,         573.129,         285.396,          14.424,    29592857.000,
              25,         161.840,         359.791,         281.270,          14.441,     9984513.000,
              27,         145.821,         309.418,         243.168,           6.450,     3026706.000,
              28,         149.212,         324.921,         259.169,          11.424,    13968631.000,
              29,         119.882,         302.248,         239.674,           5.964,         105.000,
              30,         166.683,         319.662,         251.481,           8.630,           0.000,
              31,         176.367,         389.176,         273.524,          16.258,           0.000,
              32,         193.917,         371.493,         257.556,          11.500,           0.000,
              33,         173.140,         485.958,         273.869,          17.158,           0.000,
              34,         173.096,         495.720,         272.713,          17.068,           0.000,
              35,         177.678,         373.229,         256.388,          11.172,           0.000,
              36,         181.777,         347.529,         247.794,           8.360,           0.000,
             lat,           0.041,           1.809,           0.328,           0.251,           0.000,
             lon,           0.035,           1.103,           0.337,           0.245,           0.000,
             vza,           0.028,           4.099,           0.260,           0.159,           0.000,
             sza,           0.023,           0.751,           0.281,           0.179,           0.000,
         pct_clr,           0.016,           0.488,           0.231,           0.126,           0.000,
          pct_l1,           0.015,           0.489,           0.216,           0.112,           0.000,
          pct_l2,           0.014,           3.606,           0.234,           0.157,           0.000,
          swflux,           0.009,           3.855,           0.227,           0.163,           0.000,
          lwflux,           0.000,           0.158,           0.123,           0.039,           0.000,
          l1_cod,           0.001,           0.116,           0.083,           0.016,           0.000,
          l2_cod,           0.001,           0.222,           0.139,           0.051,           0.000,
    aer_land_pct,           0.001,           0.122,           0.077,           0.015,           0.000,
        aod_land,          -0.000,           0.175,           0.138,           0.030,           0.000,
   aer_ocean_pct,           0.003,           2.351,           0.299,           0.202,           0.000,
       aod_ocean,           0.000,           0.206,           0.142,           0.033,           0.000,
 aod_ocean_small,          -0.008,           1.881,           0.265,           0.220,           0.000,
